id,calories,proteins,fat,carbohydrate,name,image,Cluster,label_nutrisi,penjelasan_realistis,status_makanan,disease_risk_analysis,status,level_risiko,health_score
650,513.0,17.5,32.5,44.3,Kacang Tanah rempeyek,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?q=80&w=500&auto=format&fit=crop,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas, Perlemakan Hati (Fatty Liver)",Berat,Waspada,12
651,569.0,28.8,48.4,15.8,Kacang Tanah sangan berselaput,https://myxo.com.my/wp-content/uploads/2016/01/Bold-Grade-Kernels-700x700.jpg,1,Kalori Tinggi & Lemak Tinggi,"Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya. Sumber protein yang sangat baik.",Waspada,"Hipertensi & Penyakit Jantung, Dislipidemia (Kolesterol), Obesitas",Berat,Waspada,0
654,748.0,20.8,20.8,124.8,Kacang Telur,https://img-global.cpcdn.com/recipes/18de1fa4c4094900/400x400cq70/photo.jpg,0,Kalori Tinggi & Lemak Tinggi & Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah. Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat. Porsi ini sangat mengenyangkan, awasi asupan makanan lain di jam berikutnya.",Waspada,"Diabetes Mellitus, Dislipidemia (Kolesterol), Obesitas, Perlemakan Hati (Fatty Liver)",Berat,Waspada,0
655,331.0,24.4,1.9,56.6,Kacang tolo / tunggak kering,https://id-live-01.slatic.net/p/ff99e4641bb6620735a89a1caf898a14.jpg,0,Nutrisi Terkontrol,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,Relatif Aman / Nutrisi Seimbang,Sedang,Aman,64
656,138.0,10.7,1.1,22.6,Kacang tolo rebus,https://img-global.cpcdn.com/recipes/e486ea31cffe0892/680x482cq70/kacang-tolo-kacang-tunggak-rebus-5307-foto-resep-utama.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,85
657,342.0,22.9,1.4,61.6,Kacang Tunggak (tolo),https://res.cloudinary.com/dk0z4ums3/image/upload/v1610970899/attached_image/jangan-lewatkan-5-manfaat-kacang-tolo-ini.jpg,0,Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,Diabetes Mellitus,Sedang,Perhatian,62
659,451.0,11.2,20.2,59.7,Kacang Tunggak rempeyek,https://img-global.cpcdn.com/recipes/dc9828ce49f235aa/680x482cq70/peyek-kacang-tunggaktemas-foto-resep-utama.jpg,0,Lemak Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah. Kandungan lemak cukup tinggi, berisiko menambah asupan kalori harian dengan cepat.",Perhatian,"Dislipidemia (Kolesterol), Perlemakan Hati (Fatty Liver)",Sedang,Perhatian,29
660,351.0,12.2,1.2,72.9,Kacang tunis kering,https://sc01.alicdn.com/kf/Aa651abed773a47af8e91ae2da51df3de0.jpg,0,Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,Diabetes Mellitus,Sedang,Perhatian,59
661,358.0,23.4,2.4,60.6,Kacang uci kering,https://asset.kompas.com/crops/XHI8qd19XKfLu13brPQP23b8fo0=/65x67:891x618/750x500/data/photo/2022/02/17/620dc04a8ab8f.jpg,0,Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,Diabetes Mellitus,Sedang,Perhatian,60
662,354.0,12.8,1.8,69.3,Kacang urei kering,https://i.etsystatic.com/24678735/r/il/57724a/7128958759/il_680x540.7128958759_c6wb.jpg,0,Karbo Tinggi,"Cukup tinggi karbohidrat, sebaiknya batasi jika sedang mengontrol gula darah.",Perhatian,Diabetes Mellitus,Sedang,Perhatian,59
663,110.0,4.5,6.9,7.1,Kadada katembe,https://2.bp.blogspot.com/-Kl9M50i67tY/Wn-7saMXs0I/AAAAAAAAHh4/hHbFU4Fy0s4M8zegnfa_q3kpze8Z5xjXgCLcBGAs/w1200-h630-p-k-no-nu/LogoLicious_20180205_134921.png,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,82
664,413.0,28.7,19.8,29.8,Kaholeo masakan,https://img-global.cpcdn.com/recipes/e82d99f1eb64c14b/680x482cq70/ikan-teri-kaholeo-masak-asam-khas-buton-sulawesi-foto-resep-utama.jpg,1,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Sedang,Aman,41
665,92.0,20.0,0.7,0.0,Kakap,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/30105045/Tinggi-Protein-Ini-X-Manfaat-Ikan-Kakap-untuk-Kesehatan.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,94
667,163.0,16.5,9.0,4.1,Kalio jeroan masakan,https://img-global.cpcdn.com/recipes/2031e463b74f84a0/1200x630cq70/photo.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,77
668,122.0,13.8,5.7,3.9,Kalio kikil (tunjang) masakan,https://asset.kompas.com/crops/mqYtGN3S_jZncBl0Ug8aj0WNS0E=/0x0:1000x667/750x500/data/photo/2021/03/01/603c964830992.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,84
669,157.0,8.1,8.8,11.4,Kalio otak masakan,https://asset-a.grid.id/crop/0x0:0x0/700x465/photo/sasefoto/original/32036_kalio-otak.JPG,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,76
670,193.0,10.6,12.4,9.7,Kalio telur masakan,https://img-global.cpcdn.com/recipes/642209af1316da73/680x482cq70/kalio-telur-foto-resep-utama.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,69
671,149.0,16.6,9.2,0.0,Kambing daging segar,https://akcdn.detik.net.id/visual/2020/10/27/ilustrasi-daging-kambing_169.jpeg?w=650,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,79
673,29.0,3.0,0.3,5.4,Kangkung,https://www.astronauts.id/blog/wp-content/uploads/2023/01/Mengenal-Manfaat-Kangkung-Bagi-Tubuh--1200x900.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,96
674,30.0,3.2,0.7,4.7,Kangkung kukus,https://cdn1-production-images-kly.akamaized.net/A3CuOjVcvmP6noevlbrt75x6srk=/1200x1200/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3446098/original/094275500_1619997238-stir-fried-vegetables-2245082_1280.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,96
675,22.0,2.5,0.6,3.1,Kangkung rebus,https://cdn0-production-images-kly.akamaized.net/-w7C3Sli-qWhlPa4hmzbg324XkA=/190x0:855x665/1200x1200/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/4353847/original/077195900_1678438446-shutterstock_1262667451.jpg,2,Nutrisi Terkontrol,Komposisi nutrisi dalam batas wajar.,Aman,Relatif Aman / Nutrisi Seimbang,Ringan,Aman,97
